Freq [GHz],"dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='15mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='16mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='17mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='18mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='19mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='20mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='21mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='22mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='23mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='24mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='25mm' g2='0.5mm' s1='3mm' s2='1.25mm'"
1,-11.76141216,-17.6776064,-21.69255733,-23.76756012,-42.68407084,-19.10194197,-17.239344,-12.70586951,-9.685670483,-8.146116578,-7.265652133
1.1,-17.06071132,-35.8706315,-29.04957451,-22.74758147,-16.70878294,-12.45217984,-11.27127348,-11.23421214,-8.388817005,-6.283193799,-6.485357993
1.2,-31.26241907,-20.92186199,-18.32174035,-14.10947262,-11.43177826,-9.14067056,-8.164483063,-9.829430235,-7.139021019,-4.940297117,-5.689932721
1.3,-22.12727941,-14.5894069,-12.62622217,-10.28599136,-8.564663901,-7.049757409,-6.218028506,-8.503236635,-5.935225831,-3.951495667,-4.918349094
1.4,-15.12826874,-11.26869666,-9.384298294,-7.96050161,-6.710276355,-5.595753634,-4.894138161,-7.264741891,-4.767176555,-3.207784566,-4.19421032
1.5,-11.60283498,-9.101227893,-7.350928627,-6.374038251,-5.409333221,-4.532008244,-3.947368219,-6.121995156,-3.623196075,-2.63889664,-3.53084348
1.6,-9.332138459,-7.547125356,-5.986966818,-5.222864674,-4.45080597,-3.730164744,-3.245175939,-5.082401923,-2.540335447,-2.197937976,-2.935357414
1.7,-7.715285651,-6.371922495,-5.011236349,-4.353562245,-3.720119708,-3.114547507,-2.709073841,-4.152326553,-1.733652507,-1.852338205,-2.411217419
1.8,-6.498171057,-5.451803006,-4.270663165,-3.677939931,-3.148585815,-2.636869245,-2.289803564,-3.336198583,-1.455684457,-1.578661183,-1.959601019
1.9,-5.5484587,-4.713233012,-3.680484368,-3.141004147,-2.692244194,-2.264408989,-1.955140923,-2.635498411,-1.44981184,-1.359560515,-1.57990057
2,-4.788216602,-4.108998951,-3.192791362,-2.706497038,-2.321617481,-1.971405401,-1.683304822,-2.04801969,-1.387814001,-1.181935235,-1.269692277
2.1,-4.167700751,-3.607069501,-2.779795791,-2.349517539,-2.016226157,-1.728074248,-1.459161698,-1.567711138,-1.243219048,-1.035773751,-1.024459879
2.2,-3.653318076,-3.184810434,-2.424890205,-2.052415767,-1.761433325,-1.506687386,-1.271938561,-1.18518477,-1.070362634,-0.913400949,-0.837363532
2.3,-3.221423032,-2.825721349,-2.117785279,-1.802358546,-1.546529526,-1.311103699,-1.113796282,-0.888734345,-0.903956957,-0.808964383,-0.699334228
2.4,-2.854836125,-2.517474191,-1.851781535,-1.589814297,-1.363520866,-1.149942484,-0.978914059,-0.665559876,-0.758100594,-0.718062935,-0.599685011
2.5,-2.540758631,-2.250673543,-1.622177095,-1.407573552,-1.20633614,-1.017566722,-0.862887746,-0.502896201,-0.63625283,-0.637461006,-0.527231414
2.6,-2.269458394,-2.01804068,-1.425300083,-1.250095955,-1.070293555,-0.906061348,-0.762326285,-0.388854892,-0.537243172,-0.564855591,-0.471663562
2.7,-2.033407263,-1.81385834,-1.257905151,-1.113063627,-0.951733533,-0.809715939,-0.674576146,-0.312924666,-0.458163822,-0.498678745,-0.424750783
2.8,-1.826696004,-1.633582203,-1.116804206,-0.993068923,-0.847760649,-0.724730123,-0.597530241,-0.266173698,-0.395682772,-0.437927014,-0.381005746
2.9,-1.644626483,-1.47356252,-0.998668865,-0.887391966,-0.756058947,-0.648543634,-0.529493617,-0.241240429,-0.346612216,-0.382014397,-0.337671627
3,-1.483420854,-1.330840543,-0.899973848,-0.793839443,-0.674757558,-0.579409036,-0.469087919,-0.232201113,-0.30812886,-0.330647624,-0.294169789
3.1,-1.340010135,-1.202997021,-0.817059843,-0.710626024,-0.602331434,-0.51613654,-0.415182653,-0.234383794,-0.277832853,-0.283722991,-0.251298437
3.2,-1.211877902,-1.088037687,-0.746289606,-0.636285897,-0.537526926,-0.457930072,-0.366845189,-0.244175912,-0.253734629,-0.241243654,-0.210459685
3.3,-1.096943071,-0.984305568,-0.684259775,-0.569605943,-0.4793052,-0.404272069,-0.323303902,-0.258854587,-0.234212882,-0.203255559,-0.173079246
3.4,-0.993470868,-0.890413059,-0.628021042,-0.509574611,-0.426798593,-0.354836557,-0.283920562,-0.276457678,-0.217964424,-0.169799648,-0.140261258
3.5,-0.900004472,-0.805188815,-0.575258055,-0.455342369,-0.379276435,-0.309420513,-0.248169181,-0.295709068,-0.203955499,-0.140877635,-0.112642968
3.6,-0.815312016,-0.727635915,-0.524391018,-0.406190729,-0.336117835,-0.267888391,-0.215619338,-0.316002543,-0.191378512,-0.116428621,-0.09038565
3.7,-0.738345159,-0.656898699,-0.474581466,-0.361507702,-0.296789567,-0.230127052,-0.185922553,-0.337340164,-0.179615331,-0.096314055,-0.073241624
3.8,-0.668206455,-0.592236384,-0.425648214,-0.32076808,-0.260827646,-0.196009416,-0.15880069,-0.358876685,-0.168206964,-0.080308944,-0.06065352
