Freq [GHz],"dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='25mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='26mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='27mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='28mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='29mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='30mm' g2='0.5mm' s1='3mm' s2='1.25mm'"
1,-5.6452117866827,-5.20404329153374,-4.46410644826965,-4.26667940378192,-3.76625937433309,-3.43436772121618
1.1,-4.60695712418293,-3.93737011674881,-3.40329514903937,-3.21112026649577,-3.07233314504666,-2.7911532011155
1.2,-3.728026331306,-3.05760090025391,-2.67163052286771,-2.50297389944013,-2.47266230774938,-2.25989657209245
1.3,-3.00173442015275,-2.42741706175317,-2.14336326991953,-2.0057410966916,-1.96793179152962,-1.82578975828473
1.4,-2.41577642859189,-1.96306646251368,-1.74849680912542,-1.6411002766717,-1.55397316137265,-1.47500173335511
1.5,-1.95316277357809,-1.61213042388697,-1.44523152221685,-1.36314269876819,-1.22295937982821,-1.19464422887005
1.6,-1.59421576275457,-1.34074410278185,-1.2071965977539,-1.14423875341662,-0.964758411004559,-0.972915425452338
1.7,-1.31879318488382,-1.12643034112657,-1.01697360082867,-0.967277302635377,-0.768244844581431,-0.799256103314868
1.8,-1.10808606412658,-0.953940733470515,-0.862590578917043,-0.821338235277727,-0.622374261535578,-0.664438738406075
1.9,-0.94571892891897,-0.812740467744302,-0.735528159804648,-0.699223798523067,-0.516921461090485,-0.560569711362053
2,-0.818200205145365,-0.695430689185717,-0.629540776167007,-0.596014304485904,-0.442886520843131,-0.481017723367335
2.1,-0.714918865804379,-0.596729453151864,-0.539937556412455,-0.508202530113447,-0.392636562119224,-0.420293773720246
2.2,-0.627892563467575,-0.512798628645702,-0.463131608597979,-0.433164395917661,-0.359870851492733,-0.373907896168336
2.3,-0.551416649990493,-0.440792017172314,-0.396350010841808,-0.368830784997834,-0.33948768352125,-0.338222199737603
2.4,-0.481698142516652,-0.378548511231139,-0.337441443292961,-0.313482803854648,-0.327410674301442,-0.310312980846049
2.5,-0.416508596463238,-0.324382105709294,-0.284743157237772,-0.265623880441988,-0.320410997968948,-0.287848863673723
2.6,-0.35486006061642,-0.276937292947643,-0.236983075774221,-0.223898687065455,-0.315945641926571,-0.268987717534771
2.7,-0.296695892351378,-0.235088553068692,-0.193200820630453,-0.18703655322925,-0.312020784665441,-0.252292391227553
2.8,-0.242588462039814,-0.19786869716944,-0.152675606177504,-0.153797180935904,-0.307082951902432,-0.23666373145699
2.9,-0.193443889214949,-0.164413749326116,-0.1148503746948,-0.122885332543904,-0.299937290645553,-0.221288534219422
3,-0.150225030945293,-0.133911663629726,-0.079242434278075,-0.092763541555201,-0.289690890385932,-0.205599713108753
3.1,-0.113712973876358,-0.105536412865276,-0.045349216404096,-0.061194446740631,-0.275718668436645,-0.189245857448156
3.2,-0.084330040105895,-0.078332920876832,-0.012777431937409,-0.02463578497053,-0.257649298448074,-0.172067389481271
3.3,-0.062041883539501,-0.051001646088071,0.015076477120872,-0.028596740476186,-0.235368571371587,-0.154076680914483
3.4,-0.04634406516315,-0.022033838317939,-0.097971028379044,-0.719079505419544,-0.209037135073451,-0.135439774950688
3.5,-0.036323882930921,-0.018244173525049,-1.11090712691819,-0.161868143954905,-0.17911854683531,-0.116457831851388
3.6,-0.030776391332648,-1.22586717729416,-0.166528347641321,-0.087673294527012,-0.146411868169594,-0.097547135683641
3.7,-0.028348107262218,-0.148850450073344,-0.070080663310156,-0.054231234566167,-0.112080653950583,-0.079217523617558
3.8,-0.027683554992208,-0.07302072058563,-0.036835048645999,-0.033965590515575,-0.077667395912649,-0.06205047812244
3.9,-0.027556628938639,-0.045081357034969,-0.02284336814822,-0.020829457864921,-0.045079883366769,-0.046679938669273
4,-0.026977670908969,-0.032693934267549,-0.018687951962935,-0.012753256222907,-0.016534593778515,-0.033781363439171
4.1,-0.025275470827015,-0.030834822039876,-0.021275518929628,-0.008671839336759,0.005556350169498,-0.024078312421141
4.2,-0.022159636693195,-0.039924088499057,-0.029671288335041,-0.007713501838185,0.018761901721465,-0.018382397316825
4.3,-0.017772773366472,-0.063254722587808,-0.044660955805104,-0.008962124670423,0.020865883806099,-0.017695743904933
4.4,-0.012744449837593,-0.107572156432282,-0.07039321558844,-0.011487538296661,0.010124537567215,-0.023435000780378
